epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,2416.96,0.7177,0.49949,1.04596,0.90042,0.86533,0.90037,0.71151,0.92905,0.63138,1.26904,0.000205631,0.000205631,0.000205631
150,2434.52,0.75722,0.51532,1.04574,0.89462,0.86701,0.90627,0.71225,0.93146,0.64703,1.26211,0.000201824,0.000201824,0.000201824
151,2450.32,0.72637,0.50492,1.05988,0.91728,0.84129,0.90043,0.7117,0.93116,0.65466,1.25252,0.000198018,0.000198018,0.000198018
152,2466.19,0.70683,0.50185,1.04078,0.8944,0.85561,0.91549,0.72097,0.94574,0.59993,1.29149,0.000194211,0.000194211,0.000194211
153,2482.24,0.71676,0.50595,1.05685,0.87486,0.85515,0.90719,0.72676,0.95534,0.5752,1.32142,0.000190404,0.000190404,0.000190404
154,2498.48,0.68692,0.48657,1.02925,0.87617,0.89471,0.91233,0.73514,0.93431,0.59088,1.28179,0.000186598,0.000186598,0.000186598
155,2515.34,0.66357,0.49291,1.03836,0.91635,0.83333,0.89914,0.71782,0.95607,0.60103,1.31605,0.000182791,0.000182791,0.000182791
156,2531.3,0.70362,0.49874,1.03613,0.93617,0.83059,0.90906,0.72613,0.9336,0.59802,1.28721,0.000178985,0.000178985,0.000178985
157,2547.44,0.68486,0.48951,1.04777,0.9374,0.81955,0.91463,0.72278,0.94641,0.6217,1.28248,0.000175178,0.000175178,0.000175178
158,2563.38,0.70484,0.48449,1.0219,0.94433,0.81424,0.90718,0.7221,0.95999,0.62419,1.29021,0.000171372,0.000171372,0.000171372
159,2579.4,0.6441,0.46683,1.02277,0.88206,0.85227,0.90481,0.72506,0.97352,0.60075,1.31021,0.000167565,0.000167565,0.000167565
160,2596.31,0.70903,0.47736,1.03162,0.90363,0.85154,0.90815,0.73307,0.92384,0.60519,1.26712,0.000163759,0.000163759,0.000163759
161,2612.38,0.6866,0.47636,1.02862,0.91285,0.86231,0.90484,0.7233,0.93029,0.59195,1.29387,0.000159952,0.000159952,0.000159952
